AnalysisId,SampleId,SampleNum,Type,Fixed,Latitude,Longitude,Distance_miles,Bearing,Direction,CollectionDate,Source,Description,SpectraFile,SamplingTime,LiveTime,InstrumentHeight,Uncertainty,MDA,MethodCode,Moisture_pct,Nuclide,Result,Unit
221929,10335,JIS-0610-1,Instrument,No,37.143361,140.434972,38.1017229862653,239.862391542254,WSW,6/9/2011 9:02:00 PM,DOE,Description: GOJ in situ measurement. Date/time is in Pacific Daylight Saving Time.;,0610-1.CHN,1965,1800,100,0,0.05932,InSituGammaSpec,,Te-129,0,uCi/m2
221931,10335,JIS-0610-1,Instrument,No,37.143361,140.434972,38.1017229862653,239.862391542254,WSW,6/9/2011 9:02:00 PM,DOE,Description: GOJ in situ measurement. Date/time is in Pacific Daylight Saving Time.;,0610-1.CHN,1965,1800,100,0,0.005065,InSituGammaSpec,,I-133,0,uCi/m2
221933,10335,JIS-0610-1,Instrument,No,37.143361,140.434972,38.1017229862653,239.862391542254,WSW,6/9/2011 9:02:00 PM,DOE,Description: GOJ in situ measurement. Date/time is in Pacific Daylight Saving Time.;,0610-1.CHN,1965,1800,100,0,0.121455,InSituGammaSpec,,Te-129m,0,uCi/m2
221935,10335,JIS-0610-1,Instrument,No,37.143361,140.434972,38.1017229862653,239.862391542254,WSW,6/9/2011 9:02:00 PM,DOE,Description: GOJ in situ measurement. Date/time is in Pacific Daylight Saving Time.;,0610-1.CHN,1965,1800,100,0,0.004395,InSituGammaSpec,,Te-132,0,uCi/m2
221937,10335,JIS-0610-1,Instrument,No,37.143361,140.434972,38.1017229862653,239.862391542254,WSW,6/9/2011 9:02:00 PM,DOE,Description: GOJ in situ measurement. Date/time is in Pacific Daylight Saving Time.;,0610-1.CHN,1965,1800,100,0.001009,,InSituGammaSpec,,La-140,0.001889,uCi/m2
221939,10335,JIS-0610-1,Instrument,No,37.143361,140.434972,38.1017229862653,239.862391542254,WSW,6/9/2011 9:02:00 PM,DOE,Description: GOJ in situ measurement. Date/time is in Pacific Daylight Saving Time.;,0610-1.CHN,1965,1800,100,0,0.004015,InSituGammaSpec,,Nb-95,0,uCi/m2
221941,10335,JIS-0610-1,Instrument,No,37.143361,140.434972,38.1017229862653,239.862391542254,WSW,6/9/2011 9:02:00 PM,DOE,Description: GOJ in situ measurement. Date/time is in Pacific Daylight Saving Time.;,0610-1.CHN,1965,1800,100,0,0.00414,InSituGammaSpec,,Ag-110m,0,uCi/m2
221943,10337,JIS-0610-2,Instrument,No,37.092167,140.559833,34.558551147831,228.954052674601,SW,6/9/2011 10:22:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time in Pacific Daylight Saving Time;,0610-2.CHN,1892,1800,100,0.054493,,InSituGammaSpec,,Cs-134,0.486582,uCi/m2
221945,10337,JIS-0610-2,Instrument,No,37.092167,140.559833,34.558551147831,228.954052674601,SW,6/9/2011 10:22:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time in Pacific Daylight Saving Time;,0610-2.CHN,1892,1800,100,0.002749221,,InSituGammaSpec,,Cs-137,0.472320274,uCi/m2
221947,10337,JIS-0610-2,Instrument,No,37.092167,140.559833,34.558551147831,228.954052674601,SW,6/9/2011 10:22:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time in Pacific Daylight Saving Time;,0610-2.CHN,1892,1800,100,0.000473578,,InSituGammaSpec,,Cs-136,0.000924899,uCi/m2
221949,10337,JIS-0610-2,Instrument,No,37.092167,140.559833,34.558551147831,228.954052674601,SW,6/9/2011 10:22:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time in Pacific Daylight Saving Time;,0610-2.CHN,1892,1800,100,0.001798,,InSituGammaSpec,,I-131,0.002665,uCi/m2
221951,10337,JIS-0610-2,Instrument,No,37.092167,140.559833,34.558551147831,228.954052674601,SW,6/9/2011 10:22:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time in Pacific Daylight Saving Time;,0610-2.CHN,1892,1800,100,0,0.011995,InSituGammaSpec,,I-132,0,uCi/m2
221953,10337,JIS-0610-2,Instrument,No,37.092167,140.559833,34.558551147831,228.954052674601,SW,6/9/2011 10:22:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time in Pacific Daylight Saving Time;,0610-2.CHN,1892,1800,100,0.017586,,InSituGammaSpec,,Te-129,0.042249,uCi/m2
221955,10337,JIS-0610-2,Instrument,No,37.092167,140.559833,34.558551147831,228.954052674601,SW,6/9/2011 10:22:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time in Pacific Daylight Saving Time;,0610-2.CHN,1892,1800,100,0,0.00714,InSituGammaSpec,,I-133,0,uCi/m2
221957,10337,JIS-0610-2,Instrument,No,37.092167,140.559833,34.558551147831,228.954052674601,SW,6/9/2011 10:22:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time in Pacific Daylight Saving Time;,0610-2.CHN,1892,1800,100,0.024744,,InSituGammaSpec,,Te-129m,0.05043,uCi/m2
221959,10337,JIS-0610-2,Instrument,No,37.092167,140.559833,34.558551147831,228.954052674601,SW,6/9/2011 10:22:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time in Pacific Daylight Saving Time;,0610-2.CHN,1892,1800,100,0,0.005765,InSituGammaSpec,,Te-132,0,uCi/m2
221961,10337,JIS-0610-2,Instrument,No,37.092167,140.559833,34.558551147831,228.954052674601,SW,6/9/2011 10:22:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time in Pacific Daylight Saving Time;,0610-2.CHN,1892,1800,100,0,0.01078,InSituGammaSpec,,La-140,0,uCi/m2
221963,10337,JIS-0610-2,Instrument,No,37.092167,140.559833,34.558551147831,228.954052674601,SW,6/9/2011 10:22:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time in Pacific Daylight Saving Time;,0610-2.CHN,1892,1800,100,0,0.004685,InSituGammaSpec,,Nb-95,0,uCi/m2
